Name,Genotype,Variety,Treatment,FileNum,Comments,Date,Prefix,Subfolder
Sample 1,Unknown,Unknown,Field,0000,09/10/2024 03:02:34PM,091024,HR,NAR_TOS1_2024-SVC day1-all
Sample 2,Unknown,Unknown,Field,0001,09/10/2024 03:02:34PM,,,
Sample 3,Unknown,Unknown,Field,0002,09/10/2024 03:02:34PM,,,
Sample 4,Unknown,Unknown,Field,0003,09/10/2024 03:02:34PM,,,
Sample 5,Unknown,Unknown,Field,0004,09/10/2024 03:02:34PM,,,
Sample 6,Unknown,Unknown,Field,0005,09/10/2024 03:02:34PM,,,
Sample 7,Unknown,Unknown,Field,0006,09/10/2024 03:02:34PM,,,
Sample 8,Unknown,Unknown,Field,0007,09/10/2024 03:02:34PM,,,
Sample 9,Unknown,Unknown,Field,0008,09/10/2024 03:02:34PM,,,
Sample 10,Unknown,Unknown,Field,0009,09/10/2024 03:02:34PM,,,
Sample 11,Unknown,Unknown,Field,0010,09/10/2024 03:02:34PM,,,
Sample 12,Unknown,Unknown,Field,0011,09/10/2024 03:02:34PM,,,
Sample 13,Unknown,Unknown,Field,0012,09/10/2024 03:15:26PM,,,
Sample 14,Unknown,Unknown,Field,0013,09/10/2024 03:15:26PM,,,
Sample 15,Unknown,Unknown,Field,0014,09/10/2024 03:15:26PM,,,
Sample 16,Unknown,Unknown,Field,0015,09/10/2024 03:15:26PM,,,
Sample 17,Unknown,Unknown,Field,0016,09/10/2024 03:15:26PM,,,
Sample 18,Unknown,Unknown,Field,0017,09/10/2024 03:15:26PM,,,
Sample 19,Unknown,Unknown,Field,0018,09/10/2024 03:15:26PM,,,
Sample 20,Unknown,Unknown,Field,0019,09/10/2024 03:15:26PM,,,
Sample 21,Unknown,Unknown,Field,0020,09/10/2024 03:15:26PM,,,
Sample 22,Unknown,Unknown,Field,0021,09/10/2024 03:22:25PM,,,
Sample 23,Unknown,Unknown,Field,0022,09/10/2024 03:22:25PM,,,
Sample 24,Unknown,Unknown,Field,0023,09/10/2024 03:22:25PM,,,
Sample 25,Unknown,Unknown,Field,0024,09/10/2024 03:22:25PM,,,
Sample 26,Unknown,Unknown,Field,0025,09/10/2024 03:22:25PM,,,
Sample 27,Unknown,Unknown,Field,0026,09/10/2024 03:22:25PM,,,
Sample 28,Unknown,Unknown,Field,0027,09/10/2024 03:22:25PM,,,
Sample 29,Unknown,Unknown,Field,0028,09/10/2024 03:22:25PM,,,
Sample 30,Unknown,Unknown,Field,0029,09/10/2024 03:22:25PM,,,
Sample 31,Unknown,Unknown,Field,0030,09/10/2024 03:22:25PM,,,
Sample 32,Unknown,Unknown,Field,0031,09/10/2024 03:29:20PM,,,
Sample 33,Unknown,Unknown,Field,0032,09/10/2024 03:29:20PM,,,
Sample 34,Unknown,Unknown,Field,0033,09/10/2024 03:29:20PM,,,
Sample 35,Unknown,Unknown,Field,0034,09/10/2024 03:29:20PM,,,
Sample 36,Unknown,Unknown,Field,0035,09/10/2024 03:29:20PM,,,
Sample 37,Unknown,Unknown,Field,0036,09/10/2024 03:29:20PM,,,
Sample 38,Unknown,Unknown,Field,0037,09/10/2024 03:29:20PM,,,
Sample 39,Unknown,Unknown,Field,0038,09/10/2024 03:29:20PM,,,
Sample 40,Unknown,Unknown,Field,0039,09/10/2024 03:29:20PM,,,
Sample 41,Unknown,Unknown,Field,0040,09/10/2024 03:36:55PM,,,
Sample 42,Unknown,Unknown,Field,0041,09/10/2024 03:36:55PM,,,
Sample 43,Unknown,Unknown,Field,0042,09/10/2024 03:36:55PM,,,
Sample 44,Unknown,Unknown,Field,0043,09/10/2024 03:36:55PM,,,
Sample 45,Unknown,Unknown,Field,0044,09/10/2024 03:36:55PM,,,
Sample 46,Unknown,Unknown,Field,0045,09/10/2024 03:36:55PM,,,
Sample 47,Unknown,Unknown,Field,0046,09/10/2024 03:36:55PM,,,
Sample 48,Unknown,Unknown,Field,0047,09/10/2024 03:36:55PM,,,
